iter	Passed	Remaining
1080	10166	3940
1081	10175	3930
1082	10184	3921
1083	10193	3911
1084	10202	3902
1085	10211	3892
1086	10220	3883
1087	10229	3873
1088	10238	3864
1089	10248	3855
1090	10257	3845
1091	10266	3835
1092	10275	3826
1093	10284	3816
1094	10293	3807
1095	10302	3797
1096	10311	3787
1097	10320	3778
1098	10329	3768
1099	10338	3759
1100	10347	3749
1101	10356	3740
1102	10366	3731
1103	10375	3721
1104	10385	3712
1105	10394	3702
1106	10403	3693
1107	10412	3683
1108	10421	3674
1109	10430	3664
1110	10438	3655
1111	10448	3645
1112	10457	3636
1113	10466	3626
1114	10476	3617
1115	10484	3607
1116	10493	3597
1117	10503	3588
1118	10512	3579
1119	10521	3569
1120	10529	3560
1121	10539	3550
1122	10548	3541
1123	10557	3531
1124	10567	3522
1125	10576	3513
1126	10586	3503
1127	10595	3494
1128	10604	3484
1129	10613	3475
1130	10622	3465
1131	10631	3456
1132	10640	3446
1133	10649	3437
1134	10658	3427
1135	10668	3418
1136	10679	3409
1137	10688	3400
1138	10698	3390
1139	10707	3381
1140	10715	3371
1141	10725	3362
1142	10733	3352
1143	10742	3342
1144	10751	3333
1145	10760	3323
1146	10769	3314
1147	10778	3304
1148	10786	3295
1149	10795	3285
1150	10804	3276
1151	10813	3266
1152	10822	3257
1153	10831	3247
1154	10840	3237
1155	10849	3228
1156	10858	3219
1157	10867	3209
1158	10876	3200
1159	10886	3190
1160	10895	3181
1161	10906	3172
1162	10915	3162
1163	10924	3153
1164	10932	3143
1165	10941	3134
1166	10950	3124
1167	10959	3115
1168	10969	3105
1169	10978	3096
1170	10987	3086
1171	10996	3077
1172	11005	3068
1173	11013	3058
1174	11022	3048
1175	11032	3039
1176	11041	3030
1177	11050	3020
1178	11059	3011
1179	11068	3001
1180	11077	2992
1181	11087	2982
1182	11097	2973
1183	11105	2964
1184	11114	2954
1185	11123	2945
1186	11132	2935
1187	11141	2926
1188	11150	2916
1189	11159	2907
1190	11168	2897
1191	11177	2888
1192	11187	2878
1193	11196	2869
1194	11205	2860
1195	11214	2850
1196	11222	2840
1197	11232	2831
1198	11241	2822
1199	11249	2812
1200	11258	2802
1201	11267	2793
1202	11276	2784
1203	11285	2774
1204	11295	2765
1205	11305	2755
1206	11315	2746
1207	11323	2737
1208	11332	2727
1209	11342	2718
1210	11351	2708
1211	11359	2699
1212	11368	2689
1213	11377	2680
1214	11385	2670
1215	11394	2661
1216	11404	2651
1217	11413	2642
1218	11423	2633
1219	11431	2623
1220	11441	2614
1221	11450	2604
1222	11472	2598
1223	11483	2589
1224	11494	2580
1225	11506	2571
1226	11515	2562
1227	11524	2552
1228	11534	2543
1229	11544	2534
1230	11553	2524
1231	11563	2515
1232	11572	2506
1233	11582	2496
1234	11591	2487
1235	11602	2478
1236	11612	2468
1237	11620	2459
1238	11630	2449
1239	11639	2440
1240	11648	2431
1241	11657	2421
1242	11666	2412
1243	11675	2402
1244	11685	2393
1245	11693	2383
1246	11703	2374
1247	11713	2365
1248	11722	2355
1249	11732	2346
1250	11741	2337
1251	11750	2327
1252	11759	2318
1253	11767	2308
1254	11777	2299
1255	11786	2289
1256	11796	2280
1257	11804	2270
1258	11815	2261
1259	11824	2252
1260	11833	2242
1261	11843	2233
1262	11853	2224
1263	11862	2214
1264	11872	2205
1265	11881	2196
1266	11890	2186
1267	11900	2177
1268	11910	2168
1269	11919	2158
1270	11929	2149
1271	11938	2139
1272	11946	2130
1273	11955	2120
1274	11965	2111
1275	11974	2102
1276	11984	2092
1277	11993	2083
1278	12002	2073
1279	12012	2064
1280	12022	2055
1281	12032	2046
1282	12043	2036
1283	12055	2028
1284	12067	2019
1285	12078	2010
1286	12089	2000
1287	12099	1991
1288	12109	1982
1289	12118	1972
1290	12127	1963
1291	12136	1953
1292	12145	1944
1293	12154	1934
1294	12164	1925
1295	12174	1916
1296	12183	1906
1297	12192	1897
1298	12201	1887
1299	12210	1878
1300	12219	1869
1301	12228	1859
1302	12238	1850
1303	12247	1840
1304	12256	1831
1305	12265	1822
1306	12275	1812
1307	12285	1803
1308	12294	1793
1309	12303	1784
1310	12311	1774
1311	12320	1765
1312	12328	1755
1313	12337	1746
1314	12346	1737
1315	12357	1727
1316	12366	1718
1317	12374	1708
1318	12384	1699
1319	12392	1689
1320	12402	1680
1321	12410	1671
1322	12420	1661
1323	12428	1652
